"INDICATOR","HFA_13"

"HFA_13","% of population aged 65+ years, by sex"

"UNIT_TYPE","Unit"
"PERCENT","%"

"EXTERNID","ID in the originating data source"

"DATA_SOURCE","Data source"
"HFA","European Health for All database"

"DATA_TYPE_REPRESENTATION","Data type representation"
"RATIO","Ratio"

"DATA_SET","Data set"
"HFA","European Health for All database (WHO)"

"DATA_MASK","Mask for controlling the output format of values"

"SEX","Sex"
"FEMALE","Female"
"MALE","Male"
"ALL","All"

"COUNTRY","COUNTRY_GRP","SEX","YEAR","VALUE"
"ARM","","ALL","1974","5.4"
"ARM","","ALL","1975","5.5"
"ARM","","ALL","1976","5.6"
"ARM","","ALL","1977","5.6"
"ARM","","ALL","1978","5.6"
"ARM","","ALL","1979","5.6"
"ARM","","ALL","1980","5.6"
"ARM","","ALL","1981","5.88"
"ARM","","ALL","1982","5.76"
"ARM","","ALL","1983","5.57"
"ARM","","ALL","1984","5.2"
"ARM","","ALL","1985","5.41"
"ARM","","ALL","1986","5.3"
"ARM","","ALL","1987","5.23"
"ARM","","ALL","1988","5.17"
"ARM","","ALL","1989","5.3"
"ARM","","ALL","1990","5.61"
"ARM","","ALL","1991","6.01"
"ARM","","ALL","1992","6.44"
"ARM","","ALL","1993","6.89"
"ARM","","ALL","1994","7.29"
"ARM","","ALL","1995","7.69"
"ARM","","ALL","1996","7.99"
"ARM","","ALL","1997","8.28"
"ARM","","ALL","1998","8.59"
"ARM","","ALL","1999","8.79"
"ARM","","ALL","2000","9.37"
"ARM","","ALL","2001","9.38"
"ARM","","ALL","2002","9.74"
"ARM","","ALL","2003","10.08"
"ARM","","ALL","2004","10.37"
"ARM","","ALL","2005","10.63"
"ARM","","ALL","2008","10.6"
"ARM","","ALL","2010","10.4"
"ARM","","ALL","2011","10.3"
"ARM","","ALL","2012","10.52"
"ARM","","ALL","2013","10.59"
"ARM","","ALL","2014","10.68"
"ARM","","ALL","2015","10.84"
"ARM","","ALL","2016","11.09"
"ARM","","ALL","2017","11.68"
"ARM","","ALL","2018","11.75"
"ARM","","ALL","2019","12.12"
"ARM","","ALL","2020","12.4"
"ARM","","ALL","2021","12.7"
"ARM","","ALL","2022","13.15"
"AUT","","ALL","1950","10.45"
"AUT","","ALL","1951","10.57"
"AUT","","ALL","1952","10.85"
"AUT","","ALL","1953","11.06"
"AUT","","ALL","1954","11.25"
"AUT","","ALL","1955","11.41"
"AUT","","ALL","1956","11.56"
"AUT","","ALL","1957","11.72"
"AUT","","ALL","1958","11.88"
"AUT","","ALL","1959","12.05"
"AUT","","ALL","1960","12.22"
"AUT","","ALL","1961","12.34"
"AUT","","ALL","1962","12.61"
"AUT","","ALL","1963","12.77"
"AUT","","ALL","1964","12.98"
"AUT","","ALL","1965","13.2"
"AUT","","ALL","1966","13.42"
"AUT","","ALL","1967","13.65"
"AUT","","ALL","1968","13.84"
"AUT","","ALL","1969","14.02"
"AUT","","ALL","1970","14.18"
"AUT","","ALL","1971","14.24"
"AUT","","ALL","1972","14.48"
"AUT","","ALL","1973","14.67"
"AUT","","ALL","1974","14.76"
"AUT","","ALL","1975","14.97"
"AUT","","ALL","1976","15.12"
"AUT","","ALL","1977","15.26"
"AUT","","ALL","1978","15.42"
"AUT","","ALL","1979","15.52"
"AUT","","ALL","1980","15.47"
"AUT","","ALL","1981","15.11"
"AUT","","ALL","1982","14.74"
"AUT","","ALL","1983","14.37"
"AUT","","ALL","1984","14.16"
"AUT","","ALL","1985","14.19"
"AUT","","ALL","1986","14.35"
"AUT","","ALL","1987","14.55"
"AUT","","ALL","1988","14.74"
"AUT","","ALL","1989","14.87"
"AUT","","ALL","1990","14.93"
"AUT","","ALL","1991","14.94"
"AUT","","ALL","1992","14.91"
"AUT","","ALL","1993","14.93"
"AUT","","ALL","1994","15.01"
"AUT","","ALL","1995","15.13"
"AUT","","ALL","1996","15.23"
"AUT","","ALL","1997","15.32"
"AUT","","ALL","1998","15.38"
"AUT","","ALL","1999","15.41"
